month,Iran,Iraq,Nigeria,Libya,Yemen,Saudi Arabia,Venezuela,Russia,TOTAL
2021-01,8,243,333,3,573,2.0,197,8,1367.0
2021-02,10,255,307,2,651,6.0,106,10,1347.0
2021-03,9,252,316,7,869,23.0,120,10,1606.0
2021-04,13,411,324,6,669,12.0,112,12,1559.0
2021-05,26,564,321,3,483,2.0,140,9,1548.0
2021-06,23,495,286,14,494,6.0,133,10,1461.0
2021-07,23,475,290,16,599,1.0,142,19,1565.0
2021-08,17,594,295,14,532,1.0,103,18,1574.0
2021-09,19,509,255,13,556,2.0,117,19,1490.0
2021-10,14,420,270,13,620,4.0,75,17,1433.0
2021-11,13,277,259,7,657,8.0,75,17,1313.0
2021-12,11,360,251,8,654,14.0,91,6,1395.0
2022-01,18,291,352,14,815,5.0,129,12,1636.0
2022-02,11,242,330,8,581,2.0,90,14,1278.0
2022-03,18,249,333,5,560,25.0,99,20,1309.0
2022-04,13,540,316,13,479,1.0,70,32,1464.0
2022-05,13,706,270,12,590,,63,37,1691.0
2022-06,14,601,299,18,608,2.0,45,18,1605.0
2022-07,22,621,293,10,603,,69,49,1667.0
2022-08,13,600,286,10,675,2.0,48,37,1671.0
2022-09,14,590,277,7,736,1.0,85,45,1755.0
2022-10,38,539,293,6,372,2.0,56,69,1375.0
2022-11,32,442,314,7,345,,52,67,1259.0
2022-12,28,449,349,6,285,,53,49,1219.0
2023-01,16,372,330,6,507,1.0,70,47,1349.0
2023-02,16,226,256,6,414,1.0,61,75,1055.0
2023-03,18,295,293,2,442,,65,80,1195.0
2023-04,12,366,265,3,342,,61,84,1133.0
2023-05,21,400,260,10,331,,57,257,1336.0
2023-06,34,439,276,5,325,1.0,49,321,1450.0
2023-07,20,461,303,6,383,,66,333,1572.0
2023-08,9,334,294,15,480,1.0,59,333,1525.0
2023-09,12,412,272,2,405,2.0,46,507,1658.0
2023-10,7,502,323,7,350,,56,377,1622.0
2023-11,10,499,322,4,248,1.0,40,269,1393.0
2023-12,8,552,335,8,213,,34,379,1529.0
2024-01,22,607,349,11,209,1.0,54,448,1701.0
2024-02,7,491,336,13,349,,61,376,1633.0
2024-03,11,697,370,18,274,,41,732,2143.0
2024-04,13,576,353,22,272,,38,577,1851.0
2024-05,5,495,401,22,270,,47,1138,2378.0
2024-06,6,546,343,25,327,,26,1265,2538.0
2024-07,8,724,355,27,355,,46,1423,2938.0
2024-08,5,561,435,25,272,,50,1588,2936.0
2024-09,15,672,285,22,373,,39,1402,2808.0
2024-10,32,597,295,10,312,,39,1598,2883.0
2024-11,8,517,420,28,297,,30,1312,2612.0
2024-12,7,491,436,6,371,1.0,39,1251,2602.0
2025-01,9,293,540,29,426,,37,1601,2935.0
2025-02,7,273,431,17,292,,38,1641,2699.0
2025-03,8,574,355,33,436,1.0,30,1499,2936.0
2025-04,5,471,392,32,555,,24,1355,2834.0
2025-05,7,282,443,54,419,2.0,25,1332,2564.0
2025-06,443,216,314,18,154,,19,1075,2239.0
